IncLevel1	IncLevel2	IncLevelDifference
0.211,1.0,0.572,0.728	0.626,0.455,0.857,0.728	-0.039
0.069,0.067,0.089,0.055	0.101,0.095,0.083,0.103	-0.025
0.039,0.058,0.064,0.032	0.067,0.071,0.096,0.066	-0.027
0.533,0.722,0.82,0.57	0.812,0.768,0.886,0.72	-0.135
0.017,0.021,0.025,0.011	0.028,0.038,0.044,0.033	-0.017
0.063,0.039,0.06,0.029	0.094,0.048,0.046,0.053	-0.012
0.0,0.023,0.034,0.077	0.0,0.0,0.028,0.053	0.013
0.307,0.344,0.205,0.164	0.392,0.269,0.365,0.278	-0.071
0.793,0.8,0.789,0.652	1.0,0.818,0.892,1.0	-0.169
0.168,0.155,0.237,0.104	0.166,0.204,0.225,0.153	-0.021
0.461,0.281,0.367,0.379	0.331,0.415,0.343,0.36	0.01
0.037,0.025,0.038,0.013	0.037,0.04,0.04,0.033	-0.009
0.016,0.008,0.0,0.01	0.004,0.015,0.012,0.017	-0.003
0.091,0.167,0.25,0.167	0.091,0.263,0.333,0.091	-0.026
0.017,0.0,0.025,0.004	0.0,0.008,0.033,0.017	-0.003
0.121,0.108,0.171,0.069	0.173,0.193,0.222,0.168	-0.072
1.0,1.0,1.0,0.937	1.0,1.0,1.0,0.951	-0.003
0.143,0.158,0.059,0.032	0.0,0.091,0.143,0.143	0.004
0.019,0.012,0.015,0.008	0.013,0.025,0.025,0.008	-0.004
0.231,0.0,0.0,0.0	0.5,0.0,0.143,0.333	-0.186
0.259,0.393,0.268,0.226	0.312,0.308,0.257,0.333	-0.016
0.143,0.164,0.147,0.111	0.132,0.224,0.216,0.232	-0.06
0.158,0.2,0.128,0.116	0.278,0.374,0.146,0.136	-0.083
0.807,0.84,0.869,0.865	0.922,0.865,0.89,0.725	-0.005
0.011,0.015,0.007,0.009	0.013,0.016,0.014,0.009	-0.002
0.098,0.112,0.02,0.038	0.031,0.144,0.072,0.038	-0.004
0.707,0.805,0.753,0.555	0.786,0.738,0.585,0.811	-0.025
0.529,0.545,0.401,0.391	0.375,0.337,0.311,0.462	0.095
0.008,0.009,0.009,0.005	0.009,0.009,0.009,0.009	-0.001
1.0,0.558,0.0,0.387	1.0,1.0,NA,NA	-0.514
0.953,0.981,0.972,0.975	0.978,0.964,0.951,0.981	0.002
0.005,0.005,0.007,0.005	0.015,0.011,0.004,0.008	-0.004
0.053,0.057,0.093,0.045	0.06,0.115,0.113,0.092	-0.033
0.003,0.003,0.007,0.002	0.013,0.007,0.0,0.013	-0.005
