IncLevel1	IncLevel2	IncLevelDifference
0.789,0.919,0.756,0.81	0.783,0.886,0.826,0.828	-0.012
1.0,1.0,0.973,0.99	1.0,1.0,1.0,1.0	-0.009
NA,1.0,0.426,1.0	NA,0.676,0.0,1.0	0.25
0.572,0.263,0.422,0.522	0.843,0.588,0.416,0.41	-0.12
0.996,0.993,0.994,0.994	0.989,0.994,0.997,0.989	0.002
0.586,0.486,0.488,0.45	0.609,0.554,0.787,0.421	-0.09
1.0,1.0,1.0,1.0	1.0,0.989,0.982,1.0	0.007
0.003,0.013,0.007,0.014	0.01,0.018,0.015,0.009	-0.004
0.193,0.123,0.141,0.15	0.157,0.137,0.186,0.132	-0.001
0.005,0.007,0.003,0.004	0.007,0.01,0.008,0.005	-0.003
0.311,0.324,0.3,0.32	0.378,0.434,0.258,0.322	-0.034
0.0,0.014,0.0,0.0	0.066,0.034,0.022,0.022	-0.032
0.956,1.0,0.952,0.97	0.976,0.991,0.974,1.0	-0.016
0.985,0.971,0.904,0.951	0.953,0.935,0.923,0.938	0.016
0.023,0.029,0.054,0.053	0.075,0.048,0.046,0.049	-0.015
0.989,0.972,0.962,0.991	0.968,0.981,0.972,0.979	0.004
0.567,0.922,0.846,0.758	1.0,0.922,0.733,1.0	-0.141
1.0,1.0,0.92,0.968	1.0,0.963,0.943,1.0	-0.005
1.0,NA,NA,1.0	NA,1.0,0.394,NA	0.303
1.0,NA,NA,1.0	NA,1.0,0.389,NA	0.305
1.0,1.0,1.0,1.0	1.0,1.0,0.595,1.0	0.101
0.824,0.901,0.947,0.824	0.843,0.786,0.862,0.727	0.07
1.0,0.0,NA,1.0	0.481,NA,NA,1.0	-0.074
1.0,1.0,1.0,0.971	0.928,0.942,1.0,0.947	0.038
0.981,0.895,0.945,0.932	0.97,0.951,0.919,0.955	-0.011
0.228,0.123,0.098,0.135	0.202,0.182,0.289,0.138	-0.057
1.0,1.0,0.991,0.997	0.992,0.997,0.997,0.985	0.004
0.444,0.477,0.504,0.399	0.418,0.399,0.581,0.488	-0.015
0.979,1.0,0.992,0.986	1.0,0.991,1.0,1.0	-0.009
1.0,0.968,0.953,0.974	1.0,0.971,1.0,1.0	-0.019
0.998,0.989,0.996,0.994	0.98,0.991,0.99,0.997	0.005
0.243,0.215,0.439,0.438	0.25,0.338,0.305,0.315	0.032
0.987,0.962,0.949,0.967	0.933,0.954,0.948,0.954	0.019
0.987,1.0,0.991,1.0	1.0,1.0,1.0,0.987	-0.002
1.0,0.6,1.0,1.0	1.0,1.0,1.0,0.889	-0.072
0.257,0.226,0.252,0.239	0.242,0.273,0.243,0.217	-0.0
0.0,0.0,0.0,0.113	0.0,0.0,0.071,0.0	0.011
0.994,1.0,0.981,0.992	0.977,1.0,1.0,1.0	-0.002
0.019,0.022,0.01,0.009	0.026,0.027,0.045,0.019	-0.014
0.427,0.304,0.359,0.481	0.422,0.413,0.369,0.496	-0.032
