ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
259	75,94,115,134	1690,1742,2601,3052	99,89,123,64	1758,2405,2372,1781	248	149	0.775721830089691	0.96924814436466
260	237,227,242,341	19,20,43,41	206,272,239,226	23,26,28,27	182	149	0.903409550341477	0.999202115572178
261	119,108,128,134	0,0,0,0	120,182,171,135	2,0,0,0	282	149	0.368471920219021	0.688983774418693
262	205,221,234,239	2,3,0,2	245,295,303,225	0,2,0,0	282	149	0.0384962246451802	0.358099702496171
263	0,0,0,2	53,64,89,71	0,0,0,0	69,84,58,78	190	149	0.091888764160998	0.481589810480896
264	10,3,3,3	0,0,0,0	5,6,9,4	3,1,1,0	199	149	0.000788614806706667	0.0932931316333987
266	700,842,1248,966	77,91,122,78	932,1058,1075,1016	53,95,96,92	176	149	0.0994385699629593	0.488024595215181
267	4,7,2,2	0,0,2,0	3,7,2,5	1,0,1,0	161	149	0.999202115572178	0.999202115572178
268	428,466,754,658	176,209,341,273	529,605,644,638	240,260,265,287	242	149	0.858454275851787	0.999202115572178
269	5,8,10,6	0,0,0,0	5,5,9,5	0,0,0,1	345	149	0.163718492213623	0.547388676382972
273	2658,2793,4121,3658	12,15,14,18	3401,3494,3450,2894	30,9,12,12	185	149	0.983350783646271	0.999202115572178
274	0,2,6,0	8,8,7,7	0,0,0,1	7,3,6,8	231	149	0.365645479680981	0.688983774418693
277	6,17,20,6	16,26,43,23	19,20,35,19	30,29,42,25	304	149	0.0119524161370873	0.218574479660897
278	401,557,676,547	18,17,27,10	576,758,697,570	26,22,30,19	179	149	0.444285318428535	0.750842188144224
279	603,738,1065,750	4,4,13,2	923,1021,937,846	4,2,8,4	302	149	0.252381815376781	0.649480636927186
280	1,0,1,0	0,0,0,0	0,0,0,1	0,1,2,1	160	149	0.0598269773001617	0.405710167061328
281	1,0,1,0	0,0,2,3	0,0,0,1	4,3,2,0	160	149	0.527585936476555	0.802244781818572
283	242,261,379,355	0,5,4,1	303,339,256,246	1,4,1,2	193	149	0.999202115572178	0.999202115572178
284	45,65,75,34	113,173,238,152	96,105,59,61	202,229,200,202	454	149	0.150453483705056	0.538536977982092
285	962,1099,1617,1318	152,155,266,245	1235,1152,1238,1195	194,165,193,185	161	149	0.344359813703789	0.678962766019303
286	4,4,9,5	17,17,21,12	2,5,6,4	18,15,12,6	318	149	0.999202115572178	0.999202115572178
287	5,1,0,8	14,13,25,13	5,3,11,3	14,10,15,18	164	149	0.193723753431238	0.582402033822501
288	89,159,157,112	0,4,0,0	90,149,149,96	0,1,1,1	820	149	0.435387347172426	0.743236986587273
289	455,528,619,642	26,16,14,28	554,665,646,459	18,28,22,12	222	149	0.720349871373245	0.938517508628358
290	0,1,3,5	0,1,1,1	1,0,5,0	0,2,3,0	303	149	0.419953921077332	0.728453795651735
291	98,97,177,140	5,6,11,5	163,168,178,137	15,21,25,11	188	149	0.00360654690253248	0.171362305596205
292	3,0,7,4	238,210,309,269	5,0,3,4	219,292,259,270	199	149	0.812515725798393	0.991490786647347
293	0,0,1,0	0,0,0,0	0,0,0,0	0,1,0,0	179	149	NA	NA
295	1,1,5,5	0,0,0,1	5,9,0,0	1,0,0,0	276	149	0.104218914298611	0.499164547672925
296	12,19,11,12	1,4,0,5	4,11,5,8	1,4,0,2	349	149	0.630986432637225	0.871942228263042
297	12,19,15,14	1,0,1,3	4,11,8,8	2,6,2,2	382	149	0.00806382446410936	0.194821401005419
298	1,4,4,7	1,0,1,3	1,4,3,2	2,6,2,2	182	149	0.0225520114834472	0.304903195256206
300	2,3,0,3	166,205,275,267	1,1,1,1	246,262,254,217	160	149	0.223476309112116	0.625065837314863
301	143,201,281,290	0,0,0,1	243,250,245,202	0,0,0,1	419	149	0.954384600954185	0.999202115572178
302	41,27,43,39	23,27,39,55	44,69,59,42	34,45,35,36	179	149	0.160388922013671	0.545667621699867
303	9,15,17,9	7,11,18,10	22,23,25,17	8,15,18,13	179	149	0.0857414607467715	0.463773906847634
306	65,42,112,73	59,69,97,99	58,63,55,69	88,85,104,92	158	149	0.03295645447574	0.337000525696404
307	42,72,83,92	15,12,25,13	80,79,102,76	34,22,19,26	164	149	0.257241861116055	0.652365733980538
310	0,2,5,0	115,145,216,176	3,2,0,0	199,191,162,170	158	149	0.999202115572178	0.999202115572178
313	1,3,6,1	5,17,19,22	4,2,2,0	10,18,19,22	180	149	0.368498342950179	0.688983774418693
314	91,99,160,143	6,0,1,5	126,129,134,113	6,2,6,5	183	149	0.211960040764312	0.60713977778252
315	20,22,32,27	0,3,1,0	22,27,26,25	0,4,3,3	261	149	0.108327579774927	0.504533570369051
316	128,124,200,187	23,14,31,18	138,141,138,97	22,17,13,16	211	149	0.927038206901055	0.999202115572178
318	18,19,25,43	0,0,0,0	30,24,28,17	0,0,0,2	245	149	0.399186003700733	0.714428203294957
320	352,417,648,538	71,80,152,101	475,532,539,516	67,103,132,95	188	149	0.43637838854988	0.743855379905631
322	120,154,215,169	0,1,1,0	159,173,167,139	0,3,0,0	233	149	0.755585768776729	0.964148301491392
323	2,0,0,0	12,14,37,13	1,3,1,1	21,23,21,14	164	149	0.104221169294347	0.499164547672925
324	173,201,281,229	2,7,10,5	250,257,275,197	3,7,9,13	163	149	0.758518529540671	0.964598295685213
325	76,73,115,96	6,11,8,8	83,114,112,93	7,9,10,1	316	149	0.229425720296956	0.63487865990947
327	31,27,59,20	17,19,34,13	36,38,42,34	28,20,30,20	188	149	0.643018024747966	0.88400967260528
328	2347,2486,3200,3834	0,0,0,3	2486,2951,2741,2034	2,1,5,3	155	149	0.0146916426212444	0.239727078909409
330	1483,1454,1843,1955	704,614,868,795	1458,1655,1654,1270	716,751,731,649	182	149	0.137765469571481	0.522360738791864
331	12,2,6,1	316,403,509,532	5,9,5,3	361,415,411,368	170	149	0.489962503119873	0.775423076831593
332	45,35,55,63	2,6,6,4	65,54,64,51	4,9,8,0	191	149	0.924097987935594	0.999202115572178
333	2,0,0,0	1,0,2,0	2,3,0,1	7,1,1,2	161	149	0.632488528164269	0.872400161055984
334	51,54,101,54	1,12,22,11	80,88,105,89	19,26,18,19	223	149	0.198651749172942	0.59230322735287
335	2,5,10,9	20,19,33,20	8,9,6,12	34,29,35,30	163	149	0.999202115572178	0.999202115572178
336	25,34,61,24	39,30,66,35	42,59,54,49	56,77,45,52	156	149	0.754630094742973	0.963686201213762
337	9,22,26,21	1,0,0,1	21,24,24,26	1,2,2,0	158	149	0.263299220804899	0.656103289046786
339	14,15,20,15	0,0,0,0	16,18,5,13	0,0,1,1	1351	149	0.0113507169235233	0.213141240008382
340	0,0,0,1	13,17,14,21	3,3,2,4	16,19,16,17	379	149	0.000738727351282109	0.0932931316333987
341	298,318,409,360	26,16,35,6	305,377,316,296	11,9,22,11	205	149	0.377272015639488	0.697235327443303
342	1,1,4,0	3,0,2,3	0,0,4,2	3,4,7,1	156	149	0.524047528557678	0.799615448995465
343	58,57,79,61	10,13,13,13	66,71,61,68	11,6,14,13	268	149	0.417562158023327	0.72696987923708
344	56,45,76,67	135,148,175,149	54,76,60,43	135,157,143,154	358	149	0.86679468585201	0.999202115572178
345	33,29,44,41	1,0,1,0	31,47,39,25	0,0,0,0	358	149	0.105377627561847	0.502668279861551
346	363,346,607,445	425,459,740,596	424,503,389,423	585,692,667,642	164	149	0.0174849780123738	0.263111008885085
347	14,8,15,33	125,146,167,182	21,33,14,21	155,120,135,147	224	149	0.171616670212965	0.553674032815789
348	6,9,11,6	1911,1750,3058,3071	10,12,6,4	2041,2537,2374,1944	153	149	0.82525109672757	0.999202115572178
350	18,17,23,23	34,43,39,20	16,31,18,19	29,30,39,39	161	149	0.973337002927744	0.999202115572178
351	91,82,106,96	10,15,15,13	71,81,81,107	20,29,26,18	176	149	0.0101423084914106	0.199240708350845
352	92,111,154,93	1,0,0,0	95,139,102,77	0,0,0,1	1424	149	0.999202115572178	0.999202115572178
353	607,535,885,861	0,0,0,0	706,907,750,771	3,0,0,0	677	149	0.354130459999282	0.681801758350164
354	210,218,354,214	18,13,21,11	278,402,376,272	19,23,13,17	301	149	0.372071866251733	0.692621585799842
355	408,438,787,453	0,2,0,0	659,913,843,711	0,4,4,0	512	149	0.32549426518529	0.672561360740225
356	359,412,691,416	0,5,0,2	591,786,734,657	4,0,8,1	360	149	0.999202115572178	0.999202115572178
357	122,114,289,145	0,0,0,0	238,401,315,258	0,5,0,0	512	149	0.999202115572178	0.999202115572178
358	15,25,26,28	252,259,328,335	32,35,28,14	273,325,278,263	167	149	0.348615196122558	0.681533448655768
359	44,47,41,51	341,373,462,405	55,47,40,33	376,417,420,401	167	149	0.548135313600217	0.817062670131687
360	95,102,127,135	6,5,1,0	126,166,153,118	2,5,3,2	168	149	0.999202115572178	0.999202115572178
362	317,388,513,402	1,2,5,4	409,506,481,443	3,4,6,4	288	149	0.563311231009511	0.826282934016431
363	255,308,420,296	0,0,0,0	297,382,346,323	0,0,0,3	376	149	0.371030040739145	0.691590086324875
364	158,187,249,242	0,2,4,2	181,271,262,208	2,0,0,2	167	149	0.172692711892048	0.554397498421417
365	1099,1371,1831,1560	4,4,9,6	1529,1461,1480,1367	4,11,1,4	221	149	0.48750855191729	0.773267705269153
366	13,14,27,15	31,36,46,42	24,21,36,24	37,42,33,30	794	149	0.0253041828386785	0.309363364713359
367	342,373,570,557	2,5,0,0	460,455,391,454	3,4,1,2	178	149	0.192514337080246	0.580980767260028
368	0,3,3,2	11,14,9,18	1,1,2,2	19,20,12,12	156	149	0.47738918683742	0.769731959972563
369	8,4,10,7	45,39,56,36	7,20,3,8	44,45,50,55	173	149	0.999202115572178	0.999202115572178
370	40,36,40,32	248,267,346,287	24,49,45,43	290,284,313,310	161	149	0.874365346497126	0.999202115572178
371	15,10,19,6	217,270,361,275	12,7,19,17	252,353,311,277	161	149	0.932648773828638	0.999202115572178
372	646,672,950,709	0,0,0,0	699,913,961,848	0,0,3,0	4007	149	0.370941142720129	0.691590086324875
373	1082,1108,1456,1700	2,0,9,8	1064,1386,1342,919	2,3,4,2	463	149	0.812553100299749	0.991490786647347
374	75,73,199,99	0,0,0,0	148,175,157,163	0,0,0,2	580	149	0.308494426340919	0.672431446456786
375	356,382,615,510	1,1,0,0	529,543,479,501	0,0,7,3	580	149	0.816189575052692	0.99424081553997
377	99,138,197,108	0,0,2,0	143,194,168,144	0,2,0,0	712	149	0.898584305449521	0.999202115572178
378	0,1,4,0	37,59,77,55	3,5,2,5	48,75,79,50	160	149	0.0224995250310265	0.304903195256206
379	401,346,605,473	0,2,3,0	432,522,433,478	6,1,2,1	1057	149	0.457407601145196	0.757331269635783
380	133,149,256,164	14,6,10,9	208,216,194,191	12,14,8,14	192	149	0.784319437793378	0.971861501024107
381	2,8,7,1	3,1,0,2	5,6,7,5	1,3,2,0	249	149	0.79208991927391	0.975914889298636
382	322,327,663,274	1,2,0,2	520,604,543,465	2,0,0,0	2240	149	0.12513070249481	0.506578927740333
383	502,619,799,874	12,9,18,19	664,801,771,634	16,15,24,15	184	149	0.349468707917921	0.681718818469435
384	11,11,21,11	348,378,511,455	16,12,10,6	370,514,436,367	237	149	0.335803511938138	0.675303672990774
