ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
31571	257,259,417,348	0,0,0,0	439,401,415,398	1,0,0,0	298	149
31572	249,245,294,265	0,0,0,0	354,324,310,284	0,0,0,3	260	149
31573	252,271,432,404	0,0,2,0	358,400,327,343	3,0,0,0	298	149
31574	368,412,654,630	0,0,2,0	541,588,522,531	3,0,0,0	298	149
31576	604,767,1090,924	0,0,0,0	965,1006,881,955	0,0,0,1	284	149
31577	0,5,7,6	0,0,0,0	10,10,10,7	1,0,0,0	227	149
31578	1,7,12,3	0,0,0,0	8,10,8,5	0,0,2,0	298	149
31580	269,264,341,410	3,0,0,0	276,333,303,273	0,0,1,0	284	149
31581	132,148,191,234	14,29,18,24	148,182,172,146	17,23,27,9	284	149
31582	153,138,214,265	14,29,18,24	187,201,190,154	17,23,27,9	298	149
31583	288,267,369,451	1,12,5,10	317,355,336,284	2,3,16,3	298	149
31584	169,179,288,181	2,1,2,1	192,226,237,182	1,0,0,2	298	149
31585	178,187,275,218	0,0,0,0	194,276,231,227	1,0,0,0	263	149
31586	237,261,383,312	7,0,1,0	316,390,306,344	3,4,1,4	298	149
31587	492,554,762,848	4,4,6,0	592,720,666,585	0,4,7,5	298	149
31588	744,785,1043,1100	0,0,0,3	869,908,880,834	0,0,0,1	298	149
31589	351,413,600,515	2,3,5,0	464,545,472,392	1,0,0,0	240	149
31590	489,521,761,666	0,1,2,0	688,719,609,624	2,3,0,1	272	149
31591	0,3,1,2	0,0,0,0	3,3,0,3	0,0,1,0	240	149
31592	30,40,80,43	0,0,0,0	63,80,75,60	0,0,0,1	298	149
31593	94,133,179,135	0,0,1,0	168,197,176,162	5,0,0,0	298	149
31594	22,19,25,32	0,0,0,0	29,27,26,25	1,0,1,0	208	149
31595	68,68,88,53	0,2,0,1	68,70,78,73	0,0,2,1	225	149
31596	0,1,1,0	0,0,0,0	0,0,3,1	2,0,0,1	271	149
31597	60,30,68,26	0,0,1,0	59,59,52,47	0,0,1,0	298	149
31598	65,80,115,77	1,3,1,0	92,112,73,100	3,5,1,1	298	149
31599	73,124,148,112	0,0,0,0	132,106,99,115	0,1,0,0	291	149
31600	54,108,97,105	1,0,1,3	86,96,87,73	3,2,0,3	215	149
31601	18,30,28,32	4,1,0,0	21,28,27,16	1,1,0,0	215	149
31602	36,55,77,71	4,1,0,0	49,58,55,70	1,1,0,0	262	149
31603	73,134,151,144	3,1,6,5	113,124,121,125	2,2,6,2	262	149
31604	38,32,84,76	15,7,15,21	69,54,70,54	5,12,5,10	208	149
31605	40,49,54,84	0,0,0,0	39,71,90,65	0,0,1,1	298	149
31606	7,9,13,8	0,0,0,1	13,22,13,10	0,0,0,0	298	149
31607	6,4,2,5	2,0,0,3	3,8,4,6	0,0,0,0	218	149
31608	19,37,33,40	0,0,0,1	40,39,41,26	0,0,0,0	256	149
31609	105,120,97,162	0,0,0,0	102,115,130,96	0,0,1,0	180	149
31610	4,6,1,10	1,1,1,0	5,3,8,1	1,2,1,1	267	149
31611	264,355,340,456	0,0,0,0	291,412,349,281	0,1,0,1	248	149
31612	103,116,128,179	0,0,3,0	104,129,127,107	0,4,0,2	234	149
31613	338,364,486,561	0,0,1,0	375,523,495,402	0,0,0,0	211	149
31614	516,546,767,836	0,0,0,0	713,765,715,598	3,0,0,0	246	149
31615	451,402,685,656	0,0,0,0	625,606,523,521	1,0,0,0	214	149
31616	5724,6494,8518,8028	0,0,1,2	6483,7658,7578,6341	0,0,0,1	240	149
31617	6913,7563,10190,9134	1,0,8,0	8102,9024,7983,7911	1,2,1,0	272	149
31618	6,2,8,6	1,1,3,0	9,5,1,2	0,0,0,0	250	149
31619	7,0,7,6	0,0,0,0	2,1,8,1	1,3,0,0	298	149
31622	36,41,41,44	277,323,388,419	64,56,59,55	275,347,350,244	253	149
31623	219,212,288,247	0,1,1,0	215,311,279,256	0,1,3,0	262	149
31624	288,260,391,307	0,2,1,3	297,437,381,330	2,2,14,3	297	149
31625	454,516,704,630	0,0,1,0	513,624,663,521	0,1,0,0	281	149
31626	94,151,179,153	0,2,0,0	113,191,159,142	0,1,0,0	155	149
31627	375,414,623,490	0,1,0,3	480,517,530,505	0,0,0,0	296	149
31628	414,423,622,489	2,0,0,0	494,551,492,536	1,1,0,0	266	149
31631	86,85,155,111	0,0,2,0	138,139,144,125	3,0,0,3	259	149
31632	9,13,9,5	0,0,1,0	19,19,15,17	2,4,0,1	298	149
31633	25,51,51,26	0,0,0,0	68,80,62,72	0,0,2,0	298	149
31634	0,1,0,0	0,0,1,0	0,0,0,0	2,4,0,1	298	149
31635	53,47,64,55	0,0,0,0	74,97,95,67	0,0,2,0	298	149
31636	53,47,63,55	16,38,42,21	72,93,95,66	49,61,47,55	298	149
31637	103,112,178,146	0,0,0,0	201,229,220,170	0,1,3,0	232	149
31638	76,75,96,90	0,5,2,2	118,124,127,84	4,1,4,0	232	149
31639	88,107,156,142	4,4,9,3	133,174,151,116	12,4,1,1	251	149
31640	38,51,84,64	0,0,0,0	60,77,69,55	0,1,0,0	251	149
31641	46,51,101,52	0,0,0,0	86,97,86,62	0,1,0,0	239	149
31642	100,113,171,138	1,1,0,0	171,207,170,142	3,1,1,3	239	149
31643	99,125,174,133	0,2,0,7	126,153,185,107	5,0,0,1	168	149
31644	66,54,123,100	0,2,0,7	83,94,80,51	5,0,0,1	298	149
31645	209,240,359,316	0,0,0,0	285,349,367,291	0,1,0,1	298	149
31646	0,0,0,0	115,129,199,176	0,1,0,0	150,180,190,172	286	149
31649	878,1073,1560,1228	0,3,0,4	1157,1444,1219,1208	0,2,0,3	257	149
31650	373,466,713,533	1,0,2,0	539,643,544,503	1,0,0,0	257	149
31651	370,459,699,522	0,1,1,0	537,635,535,494	2,0,1,0	257	149
31652	89,95,123,123	1,0,2,0	152,134,112,129	1,0,0,0	182	149
31653	0,0,0,1	0,1,1,0	0,2,0,1	2,0,1,0	182	149
31654	582,688,961,810	4,7,14,11	750,928,775,823	2,8,9,9	182	149
31655	129,162,233,208	1,0,0,0	216,236,205,199	0,0,0,0	182	149
31656	665,713,1123,933	0,1,0,0	825,960,844,801	0,0,0,0	297	149
31657	1333,1374,2198,1791	0,1,6,1	1687,1852,1726,1653	2,6,2,2	297	149
31658	903,1037,1403,1109	248,226,366,319	1133,1267,1208,1119	212,337,289,293	296	149
31659	306,442,544,463	0,1,0,0	428,492,431,447	0,0,0,0	296	149
31660	1049,1052,1520,1151	0,1,0,0	1284,1405,1343,1240	0,0,0,0	291	149
31661	193,223,342,282	0,0,0,2	221,316,313,296	0,0,0,1	298	149
31662	477,488,704,540	0,1,1,0	594,674,594,588	0,1,0,1	298	149
31663	127,143,189,155	193,222,342,282	168,139,137,153	221,316,313,296	170	149
31664	147,165,252,196	0,0,0,1	177,228,225,224	0,0,0,0	256	149
31665	149,169,199,199	12,18,26,25	154,192,218,151	34,21,27,20	167	149
31666	395,409,578,487	6,8,5,5	450,531,487,463	11,7,6,3	167	149
31667	56,69,79,74	1,0,1,0	55,68,74,61	0,0,0,0	218	149
31668	68,86,105,98	6,8,5,5	88,87,96,81	11,7,6,3	218	149
31669	153,161,168,186	344,336,480,409	147,166,200,149	399,451,408,411	218	149
31671	289,294,437,306	343,389,518,405	374,346,337,304	448,453,502,451	161	149
31672	635,685,1017,858	0,0,0,0	825,887,918,790	0,2,0,0	216	149
31673	221,271,239,234	0,0,0,0	234,251,278,281	2,0,0,1	230	149
31674	619,703,800,714	0,1,0,2	698,732,757,768	0,0,0,3	230	149
31675	56,41,61,62	0,2,1,2	43,46,45,41	0,0,0,0	298	149
31676	50,45,58,53	0,0,0,0	41,31,39,57	0,0,0,2	298	149
31677	5,12,17,13	0,0,0,0	11,20,10,11	0,0,1,0	298	149
31679	0,0,0,1	0,0,1,0	4,0,1,0	0,0,0,0	252	149
31680	2,0,3,0	0,0,0,1	1,4,4,1	0,0,0,0	222	149
31681	2,4,5,2	0,0,0,1	2,1,2,4	0,0,0,0	191	149
31683	156,142,187,197	0,1,0,1	148,229,218,171	0,0,0,0	269	149
31684	106,206,220,186	0,0,0,1	195,196,185,179	0,0,2,1	277	149
