refseq_mrna	ensembl_transcript_id
NM_008638	ENSMUST00000005810
NM_008663	ENSMUST00000107127
NM_008695	ENSMUST00000022340
NM_008721	ENSMUST00000071442
NM_008800	ENSMUST00000023132
NM_008819	ENSMUST00000102692
NM_008899	ENSMUST00000178174
NM_008981	ENSMUST00000248537
NM_008996	ENSMUST00000163483
NM_009003	ENSMUST00000118535
NM_009022	ENSMUST00000034723
NM_009038	ENSMUST00000021290
NM_009127	ENSMUST00000041331
NM_009142	ENSMUST00000034230
NM_009154	ENSMUST00000067458
NM_009189	ENSMUST00000050029
NM_009190	ENSMUST00000094646
NM_009199	ENSMUST00000025875
NM_009236	ENSMUST00000054491
NM_009257	ENSMUST00000086701
NM_009358	ENSMUST00000002839
NM_009382	ENSMUST00000114840
NM_009392	ENSMUST00000089641
NM_009657	ENSMUST00000102478
NM_009693	ENSMUST00000037811
NM_009704	ENSMUST00000031325
NM_009713	ENSMUST00000165199
NM_009758	ENSMUST00000049005
NM_009791	ENSMUST00000053364
NM_009838	ENSMUST00000201414
NM_010140	ENSMUST00000064405
NM_010143	ENSMUST00000006112
NM_010192	ENSMUST00000060253
NM_010219	ENSMUST00000032508
NM_010239	ENSMUST00000025563
NM_010358	ENSMUST00000004140
NM_010432	ENSMUST00000029438
NM_010469	ENSMUST00000047904
NM_010497	ENSMUST00000097709
NM_010568	ENSMUST00000091291
NM_010700	ENSMUST00000034713
NM_010710	ENSMUST00000000253
NM_010713	ENSMUST00000177846
NM_010822	ENSMUST00000020528
NM_010848	ENSMUST00000020158
NM_010867	ENSMUST00000073211
NM_010910	ENSMUST00000022639
NM_011046	ENSMUST00000122232
NM_011151	ENSMUST00000112304
NM_011156	ENSMUST00000099858
NM_011224	ENSMUST00000035269
NM_011270	ENSMUST00000030627
NM_011438	ENSMUST00000182625
NM_011605	ENSMUST00000020123
NM_011610	ENSMUST00000030336
NM_011680	ENSMUST00000058860
NM_011731	ENSMUST00000026273
NM_011734	ENSMUST00000215474
NM_011753	ENSMUST00000159569
NM_011791	ENSMUST00000068892
NM_011812	ENSMUST00000021603
NM_011881	ENSMUST00000033827
NM_012035	ENSMUST00000022023
NM_013454	ENSMUST00000030010
NM_013540	ENSMUST00000075316
NM_013555	ENSMUST00000059272
NM_013675	ENSMUST00000021458
NM_013724	ENSMUST00000064937
NM_013779	ENSMUST00000080403
NM_013841	ENSMUST00000015891
NM_013881	ENSMUST00000004920
NM_013884	ENSMUST00000196060
NM_013927	ENSMUST00000102999
NM_015769	ENSMUST00000023206
NM_016712	ENSMUST00000005769
NM_016714	ENSMUST00000165443
NM_016775	ENSMUST00000072334
NM_016789	ENSMUST00000071782
NM_016846	ENSMUST00000027760
NM_016915	ENSMUST00000047816
NM_017391	ENSMUST00000113975
NM_017474	ENSMUST00000029919
NM_018863	ENSMUST00000028883
NM_019457	ENSMUST00000023006
NM_019632	ENSMUST00000028926
NM_019658	ENSMUST00000025932
NM_019828	ENSMUST00000103140
NM_019835	ENSMUST00000109221
NM_020049	ENSMUST00000033414
NM_020274	ENSMUST00000008734
NM_020605	ENSMUST00000026357
NM_021279	ENSMUST00000023734
