IncLevel1	IncLevel2	IncLevelDifference
0.268,0.274,0.213,0.223	0.41,0.283,0.356,0.282	-0.088
0.034,0.062,0.063,0.03	0.051,0.064,0.044,0.079	-0.012
1.0,1.0,1.0,1.0	1.0,0.974,1.0,0.959	0.017
0.08,0.088,0.069,0.049	0.118,0.099,0.079,0.088	-0.025
0.019,0.018,0.022,0.01	0.016,0.023,0.021,0.032	-0.006
0.095,0.09,0.173,0.091	0.129,0.147,0.079,0.114	-0.005
0.057,0.032,0.046,0.025	0.033,0.038,0.034,0.011	0.011
0.021,0.027,0.039,0.011	0.017,0.01,0.018,0.019	0.008
0.147,0.197,0.281,0.09	0.285,0.235,0.398,0.175	-0.095
0.072,0.018,0.066,0.045	0.105,0.008,0.04,0.059	-0.003
0.105,0.257,0.171,0.179	0.177,0.226,0.237,0.269	-0.049
NA,NA,0.228,NA	NA,0.0,0.0,0.0	0.228
0.7,0.813,0.645,0.829	0.808,0.625,1.0,1.0	-0.111
0.822,0.739,0.865,0.657	0.757,0.674,0.554,0.676	0.106
0.204,0.698,0.553,0.316	1.0,0.675,0.431,0.652	-0.247
0.537,0.574,0.556,0.506	0.548,0.54,0.562,0.59	-0.017
0.034,0.026,0.036,0.06	0.074,0.08,0.079,0.042	-0.03
0.013,0.022,0.036,0.038	0.04,0.067,0.058,0.026	-0.021
0.041,0.055,0.082,0.037	0.064,0.079,0.066,0.078	-0.018
0.021,0.026,0.027,0.023	0.015,0.019,0.033,0.015	0.004
0.046,0.078,0.079,0.038	0.106,0.084,0.08,0.12	-0.037
0.022,0.051,0.072,0.035	0.056,0.088,0.04,0.039	-0.011
0.161,0.147,0.155,0.099	0.163,0.177,0.128,0.152	-0.015
1.0,0.967,1.0,1.0	0.974,1.0,1.0,1.0	-0.002
1.0,0.969,0.988,0.959	0.969,0.977,1.0,1.0	-0.007
0.553,0.386,0.554,0.6	0.726,0.399,0.52,0.793	-0.086
0.411,0.335,0.24,0.319	0.182,0.328,0.234,0.282	0.07
0.546,0.729,0.81,0.577	0.744,0.693,0.722,0.811	-0.077
0.067,0.085,0.104,0.055	0.103,0.102,0.093,0.124	-0.028
0.083,0.034,0.084,0.053	0.156,0.202,0.128,0.067	-0.075
0.009,0.036,0.089,0.04	0.034,0.071,0.062,0.052	-0.011
0.004,0.003,0.003,0.003	0.019,0.009,0.004,0.007	-0.006
0.96,0.967,0.965,0.994	0.987,0.952,0.994,0.988	-0.009
0.303,0.311,0.314,0.29	0.334,0.278,0.28,0.29	0.009
0.809,0.844,0.819,0.755	0.819,0.831,0.812,0.873	-0.027
0.987,0.99,0.994,0.994	0.993,0.991,0.973,0.965	0.011
