IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
114,119,245,135	2,1,5,0	193,220,160,186	1,6,1,3	176	149
0,2,2,1	80,90,130,69	7,2,0,5	113,131,126,121	165	149
258,257,323,334	3,0,0,1	318,352,345,283	1,0,0,5	153	149
5,2,16,17	0,2,2,4	5,8,12,6	6,5,0,3	153	149
150,137,178,208	197,211,246,249	165,202,196,160	242,250,284,234	152	149
8,12,10,6	1,0,0,0	11,9,17,7	0,0,0,0	298	149
60,51,106,50	1,0,5,0	46,75,79,59	0,3,0,0	277	149
9,8,19,12	3,6,8,6	12,19,21,10	2,3,6,9	152	149
4,7,10,3	0,0,2,1	13,7,19,2	1,3,0,0	152	149
70,61,79,93	0,5,1,0	78,92,81,55	1,4,0,2	151	149
25,28,25,27	1,2,5,1	22,32,17,22	1,0,4,0	197	149
144,166,244,195	0,0,0,0	173,218,212,183	0,0,9,0	153	149
115,144,169,127	4,6,14,5	132,197,153,153	10,9,19,5	204	149
654,716,951,916	1,0,1,0	635,765,919,499	0,0,0,0	192	149
0,1,3,0	168,247,274,170	3,0,3,1	273,250,249,266	152	149
8,25,14,15	114,135,166,161	19,16,16,12	117,131,125,123	173	149
430,409,631,513	2,1,6,5	358,485,477,404	3,4,7,3	179	149
159,149,221,209	0,0,2,0	193,188,155,164	0,0,0,0	150	149
19,39,30,43	15,27,33,34	25,55,35,41	22,31,29,26	152	149
32,58,56,71	0,0,0,3	36,72,58,65	2,1,3,0	190	149
28,46,59,62	0,0,0,3	33,48,52,50	2,1,3,0	187	149
2,7,8,4	52,83,105,99	9,9,4,3	71,109,137,93	158	149
0,1,4,0	196,138,229,245	1,2,1,0	166,220,213,145	197	149
0,0,0,1	71,87,139,117	0,1,0,0	134,146,124,114	170	149
27,36,61,53	1,0,1,0	45,42,47,36	2,1,0,0	156	149
194,187,311,206	0,0,3,1	237,231,247,230	0,4,1,4	156	149
221,207,305,265	93,75,95,95	220,267,231,245	102,98,104,82	214	149
86,71,128,119	5,3,6,3	87,129,76,108	8,4,7,1	214	149
10,17,11,18	167,136,178,180	28,18,11,21	144,180,168,159	199	149
74,63,100,75	10,8,7,10	84,63,94,78	9,9,6,12	170	149
617,580,884,763	1587,1805,2547,2248	734,867,853,722	1862,2307,2228,2055	152	149
6,8,10,8	4,10,19,12	4,10,6,6	9,10,11,9	152	149
2614,3073,4045,3744	0,6,6,0	3144,3766,3594,3180	9,4,6,11	298	149
19,38,38,27	0,0,1,1	41,35,32,44	1,0,0,1	260	149
1,0,0,0	22,16,24,30	1,0,1,1	38,31,44,39	152	149
20,31,42,19	32,25,42,39	36,39,47,45	49,42,41,48	298	149
46,48,82,83	4,6,10,2	61,70,64,66	12,6,12,5	154	149
0,0,1,2	12,10,16,16	0,2,3,1	9,10,6,7	228	149
0,0,0,0	4,4,12,14	0,0,2,0	6,10,7,8	167	149
7,3,12,6	197,193,286,218	4,7,2,5	232,260,260,273	262	149
56,63,52,57	26,35,46,35	54,55,68,68	34,28,29,32	152	149
6,4,8,9	3,1,6,2	1,4,0,3	0,1,1,2	152	149
6,9,8,9	6,18,24,15	9,13,13,9	19,25,29,12	195	149
39,71,76,81	9,19,21,10	51,73,73,64	24,9,18,18	152	149
514,545,689,758	0,2,0,2	572,717,558,590	1,0,0,3	180	149
1015,1136,1461,1683	153,150,231,251	1074,1458,1406,1040	165,208,191,152	152	149
96,154,161,144	0,2,0,0	138,179,184,157	0,0,1,0	257	149
6,12,15,10	27,25,39,57	6,10,7,12	36,27,34,36	170	149
6,10,20,9	2,0,3,2	9,12,8,13	3,1,2,1	170	149
11,17,24,13	2,0,3,2	12,20,23,17	3,1,2,1	188	149
5,7,10,4	0,0,6,0	6,10,16,5	3,2,1,1	167	149
611,666,1129,920	6,5,4,11	798,881,830,727	7,12,8,5	155	149
0,1,2,3	122,114,169,144	1,0,0,1	117,129,139,128	161	149
7,15,10,12	0,1,0,2	16,8,13,14	1,1,1,0	178	149
140,144,188,136	12,19,16,16	145,186,147,184	15,18,24,30	157	149
12,10,23,15	0,0,0,0	18,16,14,9	0,1,0,0	157	149
6,6,13,11	40,39,59,38	15,7,13,12	62,55,80,59	161	149
92,104,127,107	0,2,1,0	93,143,111,110	0,1,1,0	192	149
49,63,70,52	2,3,3,1	77,66,73,81	6,4,3,11	209	149
180,231,327,260	2,1,0,0	226,279,264,264	0,0,0,0	275	149
92,125,113,152	0,2,0,1	137,167,114,118	0,2,3,2	153	149
3,2,9,7	0,0,0,0	8,7,9,5	0,0,0,2	298	149
0,2,0,0	0,0,1,0	0,1,0,0	2,3,3,0	152	149
5,12,10,2	38,48,53,59	5,3,1,4	48,62,57,37	278	149
246,185,336,270	65,94,135,142	260,247,230,247	81,103,80,108	152	149
11,25,14,12	0,2,1,2	10,20,22,18	0,3,2,1	298	149
12,26,14,12	0,0,0,2	10,21,22,18	0,0,0,0	298	149
1,3,2,0	0,2,1,2	0,0,0,1	0,3,2,1	165	149
3,4,2,0	0,0,0,2	0,1,0,1	0,0,0,0	172	149
2,3,1,2	0,0,0,2	0,4,2,1	0,0,0,0	156	149
155,138,169,143	5,4,9,7	161,193,172,180	2,7,4,5	294	149
1,1,1,0	90,78,97,93	1,2,1,1	93,92,132,96	180	149
104,142,210,161	25,39,46,49	182,185,171,178	30,53,40,46	167	149
112,142,218,167	14,13,31,10	184,169,165,180	12,26,15,20	152	149
1,0,1,0	104,100,193,103	1,0,1,1	150,133,130,127	177	149
52,84,122,85	1,0,2,0	109,120,103,125	0,0,0,1	298	149
7,6,4,9	0,0,4,2	3,4,6,9	0,1,1,3	210	149
456,556,762,603	0,0,0,1	666,670,717,654	0,0,0,0	298	149
0,0,1,0	0,0,0,0	0,0,1,1	2,0,0,0	158	149
79,87,132,114	14,27,42,32	90,108,109,110	25,29,30,26	174	149
96,96,155,145	5,5,4,6	109,132,119,135	5,5,3,4	199	149
31,36,65,63	5,5,4,6	44,53,40,51	5,5,3,4	174	149
180,237,370,226	0,0,1,2	214,285,202,289	3,0,2,1	298	149
25,31,44,48	53,43,52,41	58,43,50,51	52,58,49,64	197	149
67,78,118,77	36,53,68,52	109,149,131,103	86,79,76,53	200	149
17,20,27,15	52,82,80,98	9,29,10,21	81,98,104,70	177	149
4,2,2,5	0,2,0,0	1,7,1,2	3,0,0,1	180	149
6,11,20,5	5,0,0,0	10,9,21,9	4,2,5,7	298	149
0,3,3,5	81,107,149,128	4,1,1,0	105,148,102,104	222	149
0,0,0,0	16,21,34,16	0,3,0,0	37,28,16,27	172	149
489,515,673,781	3,0,3,0	569,755,693,562	0,0,0,1	298	149
28,21,28,55	456,451,717,665	24,31,43,40	525,637,601,461	233	149
253,321,385,432	2,1,7,0	235,382,386,278	5,2,3,3	193	149
62,82,100,98	0,1,4,2	102,111,125,93	4,2,2,1	198	149
65,70,66,111	8845,10057,14311,17836	78,89,94,60	11613,12255,11338,9761	168	149
123,121,178,192	13,9,5,1	176,184,145,142	10,2,6,4	154	149
341,461,598,576	4,2,2,2	482,579,463,445	3,2,5,3	298	149
92,94,110,99	35,58,85,50	78,123,121,109	49,69,50,35	152	149
59,62,76,59	0,0,0,0	69,95,85,62	0,0,0,1	236	149
108,131,213,154	0,0,0,0	103,155,175,137	0,0,0,1	298	149
141,165,246,132	0,0,1,0	179,267,227,187	0,0,0,0	298	149
9,17,9,5	57,70,94,53	9,8,10,15	54,108,94,65	152	149
14,25,34,19	0,0,1,2	35,41,41,22	2,1,1,1	204	149
358,360,519,473	16,12,15,16	409,568,545,466	10,11,14,9	233	149
380,397,573,558	19,26,40,22	484,599,530,542	11,40,29,22	233	149
26,28,34,58	30,14,21,18	41,38,45,25	26,40,18,20	152	149
4,1,0,0	1,5,5,3	2,3,4,1	12,8,8,4	182	149
0,0,0,0	5,6,9,9	1,0,0,0	7,23,20,4	253	149
18,27,47,24	0,0,0,0	26,45,27,35	2,0,0,0	298	149
16,9,24,23	127,180,272,176	21,22,19,8	233,278,229,198	152	149
0,0,2,0	2,9,6,9	0,0,1,1	6,7,11,11	152	149
8,9,26,9	81,81,120,87	13,8,13,9	82,97,99,93	170	149
75,58,78,54	0,0,2,2	63,94,92,70	0,2,1,4	195	149
23,17,19,18	10,6,6,13	17,12,13,18	12,13,12,9	193	149
2,0,0,0	0,0,0,0	1,0,0,0	0,1,0,0	153	149
48,51,80,55	16,9,14,14	54,61,43,71	11,6,9,5	152	149
8,5,3,11	0,0,1,0	8,7,2,8	0,0,0,0	185	149
9,6,5,19	0,0,2,0	12,11,4,11	0,0,0,0	194	149
1,1,3,8	0,0,2,0	4,4,2,3	0,0,0,0	158	149
9,5,3,13	1,0,0,1	8,10,6,9	0,1,0,0	185	149
10,6,5,21	0,4,1,0	12,14,8,12	0,3,0,0	194	149
2,1,2,9	0,4,1,0	4,5,2,3	0,3,0,0	158	149
147,132,167,175	0,3,1,2	134,136,129,159	1,3,1,4	298	149
36,57,118,77	3,5,9,2	79,97,114,92	3,3,2,6	165	149
218,276,427,250	1,3,3,2	360,444,364,346	2,2,1,2	268	149
61,65,77,72	16,14,23,23	81,103,62,84	12,25,9,14	298	149
14,10,8,15	139,189,245,226	13,17,9,9	184,202,178,189	193	149
0,0,0,0	0,0,6,1	1,0,0,0	8,6,13,2	222	149
652,711,1041,939	1,4,0,1	849,960,865,825	1,3,0,0	298	149
2,2,4,2	14,24,24,26	1,3,6,5	27,17,18,17	152	149
1127,1200,1605,1625	16,16,32,22	1199,1450,1423,1369	14,29,18,15	158	149
5,5,9,7	938,1006,1367,1424	6,3,7,3	1063,1360,1180,1046	162	149
48,64,70,57	0,2,0,2	68,67,44,57	4,0,1,2	154	149
106,137,158,188	4,2,2,3	121,151,140,160	3,3,2,4	196	149
1,1,0,0	127,112,183,182	1,0,0,1	145,140,166,134	173	149
364,430,621,649	86,105,146,181	426,619,507,436	138,163,97,118	298	149
236,229,346,379	244,220,325,295	219,332,256,248	291,257,269,286	298	149
12,4,19,16	203,214,313,252	6,12,11,10	268,260,233,251	164	149
33,42,65,51	7,2,6,7	40,46,49,48	4,12,4,11	185	149
50,75,106,68	82,69,115,104	59,72,89,80	70,82,89,85	235	149
24,35,47,24	82,69,115,104	23,38,44,43	70,82,89,85	199	149
125,176,176,169	160,208,333,302	185,213,150,190	244,259,235,220	152	149
411,394,628,570	5,4,7,6	549,582,537,507	7,22,15,14	170	149
91,83,123,101	0,1,2,2	115,117,112,113	0,1,0,2	193	149
22,23,39,25	2,4,2,1	33,35,12,26	1,3,0,1	187	149
113,113,204,146	113,134,172,169	180,154,158,139	162,156,145,143	161	149
15,25,27,17	0,0,0,0	38,26,30,30	0,1,1,1	298	149
1999,2228,2935,3596	23,23,19,30	2370,2789,2532,1899	11,24,17,35	168	149
26,49,60,32	13,15,13,10	59,79,71,66	15,19,25,20	154	149
29,36,76,36	4,4,16,6	66,68,72,59	10,10,9,13	153	149
0,0,3,0	20,32,56,36	0,0,1,1	56,57,75,57	165	149
2153,2188,3112,3293	0,0,0,2	2564,2855,2741,2209	2,0,0,1	298	149
171,157,271,202	635,732,1150,970	213,265,281,230	922,1148,1056,920	161	149
55,53,72,85	14,3,11,6	69,111,76,86	7,17,13,17	201	149
