ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
1018	10,16,19,10	624,656,907,855	16,23,12,22	687,761,673,652	279	149	0.0563599193462151	0.463479305029631
1019	146,108,188,164	68,62,105,80	176,141,170,181	80,60,56,70	196	149	0.0114995445456785	0.269812170883176
1020	11,13,28,18	4,0,1,3	23,26,10,11	4,0,1,0	173	149	0.296984489070643	0.73096987421573
1021	23,29,49,23	1,2,5,3	46,52,63,40	1,1,0,7	298	149	0.127248175102149	0.562607627787972
1022	29,35,61,26	0,1,0,0	59,87,82,64	0,0,1,0	298	149	0.820295377066837	0.999202115572178
1023	24,45,69,49	1,3,4,4	47,68,57,43	3,3,2,0	177	149	0.138233757952017	0.569379525817031
1024	0,0,0,0	139,180,248,115	0,2,0,3	215,174,173,195	179	149	0.0232779861538852	0.352691554051117
1025	2,4,3,2	109,128,164,147	5,7,5,4	171,185,181,157	195	149	0.200583542000803	0.631592042527068
1026	28,21,34,42	6,4,5,5	38,31,58,32	6,7,5,6	152	149	0.810242639433148	0.999202115572178
1027	11,6,19,6	0,0,2,0	7,17,13,6	1,0,0,0	153	149	0.716884517528162	0.959289882292879
1028	108,89,153,151	1,8,0,0	144,192,132,133	13,7,5,9	152	149	0.00774711387830784	0.258615037270992
1029	4,7,11,8	11,8,20,11	7,5,6,5	11,10,15,10	152	149	0.552017657915861	0.871763270539433
1030	9,18,38,16	27,23,28,28	16,30,10,23	35,40,34,29	200	149	0.431385108757761	0.796932120321855
1031	21,35,44,23	0,0,2,0	30,58,35,29	1,0,4,0	224	149	0.42879752488994	0.795231543449906
1032	26,40,46,30	7,8,7,10	33,67,47,34	1,8,9,9	231	149	0.156629830307048	0.582765325760084
1033	5,5,4,7	7,8,7,10	4,9,16,5	1,8,9,9	156	149	0.0619832154095912	0.472403062180582
1034	11,8,27,1	74,94,121,99	15,17,22,15	83,132,91,74	193	149	0.146598291324712	0.578060183490529
1035	0,5,3,2	105,138,210,207	1,5,2,2	160,150,140,145	293	149	0.999202115572178	0.999202115572178
1037	102,119,119,115	67,69,117,76	76,115,103,118	72,117,69,98	152	149	0.12031578781105	0.562607627787972
1038	109,116,149,117	8,14,14,14	103,136,165,115	12,9,17,11	152	149	0.704103687025739	0.952122420091952
1039	1,2,10,2	2,14,10,4	3,4,2,9	3,15,8,2	209	149	0.599963915539709	0.894129201056825
1040	14,8,8,15	11,20,29,18	10,19,12,10	19,21,30,22	152	149	0.885660696019539	0.999202115572178
1041	0,1,3,2	5,3,5,3	5,3,1,1	5,2,11,11	209	149	0.999202115572178	0.999202115572178
1042	104,102,141,128	25,24,42,44	80,154,113,121	25,37,34,23	233	149	0.418752232969624	0.789438323495536
1043	566,589,881,1008	323,391,496,509	569,769,659,651	398,432,420,403	152	149	0.126522740867177	0.562607627787972
1044	0,4,7,5	1,1,5,0	5,11,2,3	0,2,3,0	152	149	0.564044080049443	0.879589616950131
1045	0,2,0,0	133,123,194,171	0,0,0,0	136,169,144,133	158	149	0.380496827550395	0.769799059858416
1046	483,532,732,598	1,0,0,0	582,606,600,613	0,0,0,0	298	149	0.321193900548277	0.735524770503504
1047	209,208,348,188	8,3,6,3	271,320,245,266	4,5,7,4	183	149	0.652059259041813	0.921002861240346
1048	3,2,10,6	2,0,2,4	9,12,2,8	0,3,4,3	171	149	0.846983698542959	0.999202115572178
1049	3,2,10,6	114,136,187,201	9,12,6,7	142,193,185,173	171	149	0.096297741495832	0.538587744066797
1050	21,23,30,20	32,44,46,23	13,30,16,29	33,35,28,38	152	149	0.999202115572178	0.999202115572178
1052	380,413,565,583	0,0,4,0	465,600,529,499	2,4,0,0	183	149	0.52593865764025	0.860918405967391
1053	468,514,759,679	23,28,34,56	614,759,725,647	28,37,53,31	298	149	0.693546708643734	0.947135774545986
1054	50,49,77,66	256,259,403,355	71,109,78,69	338,380,351,293	179	149	0.0228590095928215	0.350220497716885
1057	235,229,394,366	3,1,2,0	281,310,304,268	1,1,2,3	192	149	0.672936311514072	0.931801734243276
1058	0,0,3,0	0,0,0,0	3,5,0,5	0,0,0,1	203	149	NA	NA
1059	524,720,921,733	47,44,51,39	736,855,789,578	38,43,44,33	152	149	0.171775681526578	0.595701814483216
1060	3,0,0,0	0,0,0,0	0,0,0,1	0,1,0,0	298	149	NA	NA
1061	19,14,68,33	7,1,8,5	54,79,48,40	2,1,3,3	298	149	0.0069575962960079	0.244878575377348
1062	24,26,45,20	50,55,130,75	31,45,27,31	126,141,149,71	223	149	0.153339232505056	0.581358161279558
1063	19,20,54,24	25,38,54,38	39,54,60,47	76,80,74,50	152	149	0.849178140006872	0.999202115572178
1064	17,21,43,24	11,24,76,13	32,38,41,33	55,43,49,35	152	149	0.358111069931531	0.756833121245453
1065	122,95,164,154	1,7,3,0	112,120,135,130	0,1,2,2	209	149	0.999202115572178	0.999202115572178
1066	1,0,1,1	78,82,118,88	2,0,0,0	86,78,93,72	212	149	0.520974191765478	0.858062807015053
